com.samsung.health.skin_temperature,6302031,3
stat_m1,stat_m2,baseline,start_time,binning_data,stat_n,tag_id,lower_bound,update_time,create_time,client_data_id,upper_bound,max,min,client_data_ver,temperature,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
,,34.010574,2023-10-03 18:59:00.000,b3874579-56a0-436a-a55a-56f56eff2027.binning_data.json,,31301,32.419964,2023-10-04 02:44:31.232,2023-10-04 02:44:31.232,,35.60119,34.857643,32.846508,,33.902855,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-10-04 02:20:00.000,b3874579-56a0-436a-a55a-56f56eff2027,
,,33.98129,2023-09-19 23:03:00.000,215af753-965a-4e15-9dfd-f7acd6d0675b.binning_data.json,,31301,32.24687,2023-09-20 03:01:40.694,2023-09-20 03:01:40.694,,35.71571,34.8747,33.28665,,34.014137,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-20 02:38:00.000,215af753-965a-4e15-9dfd-f7acd6d0675b,
,,34.056267,2023-09-08 18:57:00.000,3e206e81-aafd-435a-a63e-b9109f35b69d.binning_data.json,,31301,32.26314,2023-09-08 23:16:59.395,2023-09-08 23:16:59.395,,35.849392,34.911003,33.148888,,34.25408,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-08 23:16:00.000,3e206e81-aafd-435a-a63e-b9109f35b69d,
,,34.043755,2023-09-14 19:34:00.000,4120b1d0-68e6-49ce-a119-287e42016ebe.binning_data.json,,31301,32.30197,2023-09-15 01:39:47.160,2023-09-15 01:39:47.160,,35.785538,35.60582,32.076717,,33.837925,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-15 01:08:00.000,4120b1d0-68e6-49ce-a119-287e42016ebe,
,,34.18429,2023-08-30 19:09:00.000,1b1d2096-f6c0-4141-983f-727aba2a88e1.binning_data.json,,31301,32.348026,2023-08-31 03:01:34.288,2023-08-31 03:01:34.288,,36.02056,35.647434,31.928684,,34.203922,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-08-31 03:01:00.000,1b1d2096-f6c0-4141-983f-727aba2a88e1,
,,34.166748,2023-09-01 19:04:00.000,3a85426c-aecb-4eeb-a226-02d824b4cd47.binning_data.json,,31301,32.377853,2023-09-02 02:36:25.671,2023-09-02 02:36:25.671,,35.955643,34.634068,31.71709,,33.41729,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-02 02:36:00.000,3a85426c-aecb-4eeb-a226-02d824b4cd47,
,,33.976326,2023-10-01 21:18:00.000,2582a6af-0069-41d1-932d-a2f71621f845.binning_data.json,,31301,32.402145,2023-10-02 01:56:24.150,2023-10-02 01:56:24.150,,35.550507,35.773888,34.03478,,34.874252,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-10-02 01:31:00.000,2582a6af-0069-41d1-932d-a2f71621f845,
,,33.90687,2023-09-29 18:22:00.000,0ab0b372-f14a-4404-8803-a0f099b212be.binning_data.json,,31301,32.30611,2023-09-30 00:42:03.884,2023-09-30 00:42:03.884,,35.507637,35.271606,33.265495,,34.27362,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-30 00:42:00.000,0ab0b372-f14a-4404-8803-a0f099b212be,
,,33.907997,2023-09-28 21:51:00.000,36063936-0fbf-4fb0-8294-be51ed213e46.binning_data.json,,31301,32.309425,2023-09-29 02:19:23.324,2023-09-29 02:19:23.324,,35.50657,34.85411,32.455856,,33.835533,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-29 02:19:00.000,36063936-0fbf-4fb0-8294-be51ed213e46,
,,33.982098,2023-09-20 20:22:00.000,c7458f31-24a0-47db-bec8-3983f6efa3d0.binning_data.json,,31301,32.26453,2023-09-20 22:46:35.359,2023-09-20 22:46:35.359,,35.699665,34.9471,33.861835,,34.523857,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-20 22:17:00.000,c7458f31-24a0-47db-bec8-3983f6efa3d0,
,,34.007732,2023-09-22 14:29:00.000,a616604c-326a-495c-9e2d-b2f2ad4b4c4d.binning_data.json,,31301,32.44531,2023-09-22 16:35:37.882,2023-09-22 16:35:37.882,,35.570156,35.81854,31.181423,,34.864452,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-22 16:35:00.000,a616604c-326a-495c-9e2d-b2f2ad4b4c4d,
,,,2023-08-18 21:05:00.000,9871f6a3-9e97-4ecc-95be-005e3f13c236.binning_data.json,,31301,,2023-08-19 01:10:06.841,2023-08-19 01:10:06.841,,,35.389236,33.802475,,34.604015,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-08-19 00:45:00.000,9871f6a3-9e97-4ecc-95be-005e3f13c236,
,,34.094326,2023-09-04 21:59:00.000,87ba1d53-5ac9-4e0c-a9fc-f738dddbc1d8.binning_data.json,,31301,32.33687,2023-09-05 02:28:45.064,2023-09-05 02:28:45.064,,35.851788,34.699165,32.8133,,33.654205,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-05 02:28:00.000,87ba1d53-5ac9-4e0c-a9fc-f738dddbc1d8,
,,34.41253,2023-08-22 20:10:00.000,dc35117a-d1da-4eae-9fd9-877170d0cfce.binning_data.json,,31301,32.874935,2023-08-23 02:45:25.398,2023-08-23 02:45:25.398,,35.950127,35.572777,32.898994,,34.172947,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-08-23 02:21:00.000,dc35117a-d1da-4eae-9fd9-877170d0cfce,
,,33.9546,2023-09-25 18:15:00.000,7a3662ba-8d15-4652-9620-bb9ea1747819.binning_data.json,,31301,32.333675,2023-09-26 03:01:44.619,2023-09-26 03:01:44.619,,35.57553,35.030785,32.066143,,33.636856,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-26 03:01:00.000,7a3662ba-8d15-4652-9620-bb9ea1747819,
,,33.981503,2023-09-19 21:37:00.000,c6fb914e-19f7-45f5-93a1-f0323a0768ee.binning_data.json,,31301,32.263756,2023-09-19 23:07:24.218,2023-09-19 23:07:24.218,,35.699253,35.544918,35.162308,,35.420177,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-19 22:43:00.000,c6fb914e-19f7-45f5-93a1-f0323a0768ee,
,,34.036358,2023-09-16 18:35:00.000,20767b3b-3f5e-47ce-b672-27fe98997b2f.binning_data.json,,31301,32.294636,2023-09-17 04:01:29.514,2023-09-17 04:01:29.514,,35.778076,36.158966,32.62595,,33.873394,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-17 04:01:00.000,20767b3b-3f5e-47ce-b672-27fe98997b2f,
,,34.091713,2023-09-03 03:28:00.000,186de210-3991-48a0-afdb-6bfc70c9db34.binning_data.json,,31301,32.302345,2023-09-03 04:55:05.102,2023-09-03 04:55:05.102,,35.881077,34.29635,33.959705,,34.146652,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-03 04:32:00.000,186de210-3991-48a0-afdb-6bfc70c9db34,
,,33.998055,2023-10-02 01:56:00.000,4abe336b-4466-41c9-9ef6-a897dfa949e0.binning_data.json,,31301,32.39794,2023-10-02 03:19:36.176,2023-10-02 03:19:36.176,,35.598167,34.855717,33.575245,,34.425938,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-10-02 03:19:00.000,4abe336b-4466-41c9-9ef6-a897dfa949e0,
,,34.068832,2023-09-11 01:48:00.000,3a5363e0-46c7-436b-a046-6eb3f7d73a18.binning_data.json,,31301,32.315235,2023-09-11 04:35:27.772,2023-09-11 04:35:27.772,,35.822433,34.641956,33.47216,,34.185257,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-11 04:11:00.000,3a5363e0-46c7-436b-a046-6eb3f7d73a18,
,,34.265007,2023-08-27 20:30:00.000,ada9a3a9-dac0-48ff-93cf-4cb676126b48.binning_data.json,,31301,32.412464,2023-08-28 01:52:09.472,2023-08-28 01:52:09.472,,36.117554,35.0989,32.504414,,34.008778,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-08-28 01:28:00.000,ada9a3a9-dac0-48ff-93cf-4cb676126b48,
,,34.05378,2023-09-14 01:30:00.000,0dd96f2c-8b53-4c72-a68c-1df7f4f80cd2.binning_data.json,,31301,32.319225,2023-09-14 03:01:36.400,2023-09-14 03:01:36.400,,35.788334,33.555653,32.317802,,32.858986,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-14 03:01:00.000,0dd96f2c-8b53-4c72-a68c-1df7f4f80cd2,
,,34.092144,2023-09-03 19:27:00.000,61fd0781-6aaa-414a-b118-5cc23c4dce33.binning_data.json,,31301,32.309746,2023-09-04 03:04:48.268,2023-09-04 03:04:48.268,,35.874542,35.208794,32.201466,,34.124195,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-04 02:41:00.000,61fd0781-6aaa-414a-b118-5cc23c4dce33,
,,34.374912,2023-08-20 17:17:00.000,411d65e7-4b57-4507-b7bb-08dd2f24d057.binning_data.json,,31301,32.826668,2023-08-20 18:37:30.939,2023-08-20 18:37:30.939,,35.923157,36.457817,35.887215,,36.217068,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-08-20 18:12:00.000,411d65e7-4b57-4507-b7bb-08dd2f24d057,
,,34.07535,2023-09-07 19:39:00.000,a5a42e8f-63c3-47b1-a38d-0f0d3901e4f2.binning_data.json,,31301,32.297436,2023-09-08 02:35:41.633,2023-09-08 02:35:41.633,,35.853264,35.165195,31.22584,,33.691742,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-08 02:35:00.000,a5a42e8f-63c3-47b1-a38d-0f0d3901e4f2,
,,34.019253,2023-09-23 21:49:00.000,00c70301-8e07-48d2-8114-7e21aa4b0225.binning_data.json,,31301,32.433968,2023-09-24 03:27:34.626,2023-09-24 03:27:34.626,,35.604538,34.991776,32.16064,,33.62366,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-24 03:27:00.000,00c70301-8e07-48d2-8114-7e21aa4b0225,
,,34.002026,2023-10-02 20:20:00.000,5e962cb4-5fa5-41d4-9463-2b20dce38ebf.binning_data.json,,31301,32.405426,2023-10-03 03:12:38.797,2023-10-03 03:12:38.797,,35.59862,35.26968,32.928535,,33.928284,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-10-03 02:48:00.000,5e962cb4-5fa5-41d4-9463-2b20dce38ebf,
,,34.070374,2023-09-11 21:28:00.000,c62f137c-f3b6-4905-8d1a-1786aee20a13.binning_data.json,,31301,32.326942,2023-09-12 02:54:00.202,2023-09-12 02:54:00.202,,35.81381,35.079407,33.10645,,34.47205,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-12 02:53:00.000,c62f137c-f3b6-4905-8d1a-1786aee20a13,
,,34.201347,2023-08-26 20:42:00.000,aadbc423-c559-402b-8423-01ed8ccfeafb.binning_data.json,,31301,32.285374,2023-08-27 04:23:06.287,2023-08-27 04:23:06.287,,36.117317,35.881493,33.961067,,34.710796,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-08-27 03:59:00.000,aadbc423-c559-402b-8423-01ed8ccfeafb,
,,34.054054,2023-09-20 22:38:00.000,5ac886c4-3348-477d-a011-6bfef7424f3d.binning_data.json,,31301,32.456528,2023-09-21 02:06:45.604,2023-09-21 02:06:45.604,,35.65158,34.314342,33.05357,,33.819843,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-21 01:41:00.000,5ac886c4-3348-477d-a011-6bfef7424f3d,
,,33.937424,2023-09-27 20:54:00.000,306e02a4-adfe-4a87-8168-e3c77d3f20f8.binning_data.json,,31301,32.289856,2023-09-28 03:17:03.931,2023-09-28 03:17:03.931,,35.58499,34.818794,32.5921,,33.529076,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-28 03:16:00.000,306e02a4-adfe-4a87-8168-e3c77d3f20f8,
