com.samsung.shealth.exercise.program_schedule,6302031,3
duration,planned_date,state_update_time,week_info_id,custom,pace_info_id,day_info_id,update_time,create_time,state_updated_by,program_id,state,distance,deviceuuid,pkg_name,tracker_id,workout_day,program_info_id,datauuid
1680,2025-02-12 22:30:00.000,2025-01-14 03:46:44.041,,65f6115c-c4d9-4f11-aebb-c0dfb4280019.custom.json,110100411,,2025-01-14 03:46:44.435,2025-01-14 03:46:44.435,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,2350.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,65f6115c-c4d9-4f11-aebb-c0dfb4280019,
1980,2025-03-05 22:30:00.000,2025-03-06 18:41:46.542,,b0d4b3e0-17aa-4817-80f4-7f11d24cb9a5.custom.json,110100720,,2025-03-07 17:41:40.288,2025-01-14 03:46:44.522,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,300,3497.0,EmOHuC/o0o,com.sec.android.app.shealth,e46ee5a9-50e0-4101-bcdf-5494b7994d99,1,program.sport_couch_to_5k_ex_v010,b0d4b3e0-17aa-4817-80f4-7f11d24cb9a5,
1860,2025-02-28 22:30:00.000,2025-01-14 03:46:44.046,,86ed2380-ac33-44b1-8451-2992394fad0f.custom.json,110100618,,2025-01-14 03:46:44.513,2025-01-14 03:46:44.513,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,3080.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,86ed2380-ac33-44b1-8451-2992394fad0f,
0,2025-03-08 22:30:00.000,2025-01-14 03:46:44.046,,667b3f11-9f91-4ffd-924a-98a5afb4fbd7.custom.json,0,,2025-01-14 03:46:44.534,2025-01-14 03:46:44.534,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,667b3f11-9f91-4ffd-924a-98a5afb4fbd7,
1920,2025-02-24 22:30:00.000,2025-01-14 03:46:44.045,,1e445e77-9632-4db3-9979-53b93a5a7c30.custom.json,110100616,,2025-01-14 03:46:44.506,2025-01-14 03:46:44.506,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,3076.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,1e445e77-9632-4db3-9979-53b93a5a7c30,
0,2025-03-23 22:30:00.000,2025-01-14 03:46:44.056,,db5db35d-1140-48e8-ae4e-4aae1feef969.custom.json,0,,2025-01-14 03:46:44.595,2025-01-14 03:46:44.595,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,db5db35d-1140-48e8-ae4e-4aae1feef969,
0,2025-03-15 22:30:00.000,2025-01-14 03:46:44.053,,f78c6328-55b1-4f74-bbb3-10e878bc7860.custom.json,0,,2025-01-14 03:46:44.567,2025-01-14 03:46:44.567,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,f78c6328-55b1-4f74-bbb3-10e878bc7860,
1980,2025-03-07 22:30:00.000,2025-01-14 03:46:44.046,,0d1a614f-36b8-4880-9234-3b1b4f71998f.custom.json,110100721,,2025-01-14 03:46:44.526,2025-01-14 03:46:44.526,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,3497.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,0d1a614f-36b8-4880-9234-3b1b4f71998f,
0,2025-03-01 22:30:00.000,2025-01-14 03:46:44.046,,a118b5e4-bdce-44f9-9d2d-4e63f4d4f6e2.custom.json,0,,2025-01-14 03:46:44.513,2025-01-14 03:46:44.513,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,a118b5e4-bdce-44f9-9d2d-4e63f4d4f6e2,
0,2025-03-04 22:30:00.000,2025-01-14 03:46:44.046,,058b846a-4d1e-404a-97a4-c3f8942e4459.custom.json,0,,2025-01-14 03:46:44.519,2025-01-14 03:46:44.519,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,058b846a-4d1e-404a-97a4-c3f8942e4459,
0,2025-03-09 22:30:00.000,2025-01-14 03:46:44.046,,cba8cca7-a672-444b-b34b-46e78f340dbc.custom.json,0,,2025-01-14 03:46:44.535,2025-01-14 03:46:44.535,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,cba8cca7-a672-444b-b34b-46e78f340dbc,
2100,2025-03-19 22:30:00.000,2025-01-14 03:46:44.053,,e95f7941-912d-4d92-99c8-464ffcfdab8c.custom.json,110100926,,2025-01-14 03:46:44.589,2025-01-14 03:46:44.589,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,4163.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,e95f7941-912d-4d92-99c8-464ffcfdab8c,
2040,2025-03-03 22:30:00.000,2025-01-14 03:46:44.046,,0a30a55e-0723-446f-ae13-adabba0c8b70.custom.json,110100719,,2025-01-14 03:46:44.515,2025-01-14 03:46:44.515,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,3477.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,0a30a55e-0723-446f-ae13-adabba0c8b70,
0,2025-03-22 22:30:00.000,2025-01-14 03:46:44.056,,7f41d007-7def-41c0-bb49-d4cdb6dfadcb.custom.json,0,,2025-01-14 03:46:44.594,2025-01-14 03:46:44.594,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,7f41d007-7def-41c0-bb49-d4cdb6dfadcb,
0,2025-03-11 22:30:00.000,2025-01-14 03:46:44.047,,3c20bfe9-358f-4d98-90f1-a08a7a757407.custom.json,0,,2025-01-14 03:46:44.540,2025-01-14 03:46:44.540,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,3c20bfe9-358f-4d98-90f1-a08a7a757407,
2280,2025-03-21 22:30:00.000,2025-01-14 03:46:44.053,,be80e545-6b71-4bb5-816e-5a3a37820aef.custom.json,110100927,,2025-01-14 03:46:44.593,2025-01-14 03:46:44.593,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,4593.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,be80e545-6b71-4bb5-816e-5a3a37820aef,
1800,2025-03-14 22:30:00.000,2025-01-14 03:46:44.052,,69063bc9-452e-4cd0-b2bd-8b9e7b7787bb.custom.json,110100824,,2025-01-14 03:46:44.566,2025-01-14 03:46:44.566,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,3413.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,69063bc9-452e-4cd0-b2bd-8b9e7b7787bb,
