com.samsung.shealth.badge,6302031,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2023-09-21 18:30:00.000,,100003,1,,2025-01-14 20:23:20.946,2023-09-22 16:51:58.351,com.sec.android.app.shealth,step_milestone_30k_steps,,,UTC+0530,23024.299738883972,EmOHuC/o0o,com.sec.android.app.shealth,,tracker.pedometer,2023-09-22 18:29:59.999,917c763f-1d07-4b89-8b9c-5e64bb8e2fc3,
1,2025-01-14 18:30:00.000,,,1,,2025-01-15 04:12:59.666,2025-01-15 04:12:59.666,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-01-15 18:29:59.999,5a5f5a25-fce3-4d9e-bfe3-875ce995669b,
,2025-01-15 00:00:00.000,,,1,,2025-01-15 04:13:14.910,2025-01-15 04:13:14.910,,vitality_first_measure,,,UTC+0000,,EmOHuC/o0o,com.sec.android.app.shealth,,tracker.vitality,2025-01-15 00:00:00.000,e101d61d-46f3-41d3-a9ca-932a32bdcb9a,
,2025-01-15 00:00:00.000,,,1,,2025-01-15 04:13:14.942,2025-01-15 04:13:14.942,,vitality_excellent,,,UTC+0000,,EmOHuC/o0o,com.sec.android.app.shealth,,tracker.vitality,2025-01-15 00:00:00.000,2a0a3bfb-6289-4cc3-88f1-b9ca06e5bae1,
,2025-01-16 00:00:00.000,,,1,,2025-01-16 00:54:16.880,2025-01-16 00:54:16.880,,vitality_good,,,UTC+0000,,EmOHuC/o0o,com.sec.android.app.shealth,,tracker.vitality,2025-01-16 00:00:00.000,586dcd87-4acf-4592-83c3-5d2a446ab6bf,
1,2025-01-15 18:30:00.000,,,1,,2025-01-16 02:39:52.932,2025-01-16 02:39:52.932,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-01-16 18:29:59.999,b7f7768c-eab1-4145-993e-113656fe4c3c,
1,2025-01-18 18:30:00.000,,,1,,2025-01-19 04:01:08.280,2025-01-19 04:01:08.280,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-01-19 18:29:59.999,4a3717c6-493a-40f0-8765-81147b3b6bbd,
,2025-01-21 17:06:17.249,1002,,1,,2025-07-08 23:46:29.607,2025-01-21 17:55:13.974,,running_5K,,1,UTC+0530,,tFCCLQvz7k,com.sec.android.app.shealth,31987f32-578a-42fa-b78a-0b44ecfd1917,tracker.exercise,2025-01-21 17:55:13.039,9833cc9b-49f4-4950-af1d-9ac86aed8e23,
1,2025-01-21 18:30:00.000,,,1,,2025-01-22 03:39:27.042,2025-01-22 03:39:27.042,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-01-22 18:29:59.999,1526e7de-dec7-4aab-a844-84199df0cb89,
1,2025-01-25 18:30:00.000,,,1,,2025-01-26 03:12:46.020,2025-01-26 03:12:46.020,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-01-26 18:29:59.999,a60a2e5a-de36-4f53-88a9-2412c1577932,
