com.samsung.shealth.exercise.weather,6302031,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,,2022-05-10 16:12:15.515,13.019173,,240.WSW,Cloudy,,1,TWC,2022-05-10 16:31:20.399,2022-05-10 16:31:20.399,1,80.1813,31.0,87,UTC+0530,GTxP26lM/E,b6569279-0726-4c8b-8589-98ecc893bfd3,com.sec.android.app.shealth,km/h,,3.0,3,602d9f89-8c5c-40c5-baa6-2c1182b77d6a,
,,2022-05-19 03:46:24.293,13.021207,,220.SW,Partly Cloudy,,1,TWC,2022-05-19 03:59:49.053,2022-05-19 03:59:49.053,1,80.18211,32.0,75,UTC+0530,GTxP26lM/E,0b5c9839-8c47-455d-a42c-7b9427af25bb,com.sec.android.app.shealth,km/h,,18.0,2,238b93f8-3b01-4b8c-90f1-d72b36c5a650,
,,2022-05-24 17:10:22.740,13.023354,,210.SSW,Fair,,1,TWC,2022-05-24 17:22:32.332,2022-05-24 17:22:32.332,1,80.17632,31.0,82,UTC+0530,GTxP26lM/E,628b9a40-c3c5-4024-bdd5-c36139d27fde,com.sec.android.app.shealth,km/h,,14.0,18,33a93e91-f25f-4542-9907-44a4dac4f880,
,,2022-05-25 17:58:00.328,13.022934,,190.S,Fair,,1,TWC,2022-05-25 18:13:35.566,2022-05-25 18:13:35.566,1,80.17608,31.0,84,UTC+0530,GTxP26lM/E,aa0c2170-7bb5-4b28-ae80-3017a43bc8f7,com.sec.android.app.shealth,km/h,,16.0,18,d010e490-6d5c-427d-a155-a0465d24f779,
,,2022-05-26 05:38:46.490,13.020854,,260.W,Fair,,1,TWC,2022-05-26 05:41:17.142,2022-05-26 05:41:17.142,1,80.18148,36.0,58,UTC+0530,GTxP26lM/E,93ab5283-2278-46dc-ad36-473ee6d12956,com.sec.android.app.shealth,km/h,,14.0,1,be9df374-dbb1-4843-94c7-c36ea33b761c,
,,2022-06-08 15:57:01.755,13.023962,,200.SSW,Partly Cloudy,,1,TWC,2022-06-08 16:09:24.098,2022-06-08 16:09:24.098,1,80.17816,32.0,76,UTC+0530,GTxP26lM/E,1b3e1a64-dbbb-471a-9215-91ea74bc09cf,com.sec.android.app.shealth,km/h,,11.0,19,9ff8b475-40c7-42bf-bf5f-2f50ba916e0d,
,,2022-07-03 08:12:03.867,13.39921,,300.WNW,Cloudy,,1,TWC,2022-07-03 09:02:09.359,2022-07-03 09:02:09.359,1,79.7581,36.0,51,UTC+0530,3sVBvvk0Yk,1e6bd04a-1213-4c83-8afd-b90896c16bad,com.sec.android.app.shealth,km/h,,18.0,3,ddf59f20-e6b8-4fc4-b4a9-70dd88d357a4,
,,2022-07-14 15:47:35.531,13.023611,,280.W,Partly Cloudy,,1,TWC,2022-07-14 15:59:02.761,2022-07-14 15:59:02.761,1,80.17877,31.0,61,UTC+0530,3sVBvvk0Yk,c8aaccfc-b9ec-4a58-b001-aadfeb2c454b,com.sec.android.app.shealth,km/h,,23.0,19,8ea2774a-76d6-4966-b044-8b98ceded74f,
,,2022-09-03 11:58:11.711,13.022187,,160.SSE,Partly Cloudy,,1,TWC,2022-09-03 12:23:38.827,2022-09-03 12:23:38.827,1,80.183556,32.0,70,UTC+0530,Hh8xS8Ad1n,6cd57ea1-5595-4e46-a0ba-69164e297000,com.sec.android.app.shealth,km/h,,13.0,2,c1e95641-591d-43ab-87b9-ff3dc53cea85,
,,2022-09-06 14:59:33.331,13.022703,,240.WSW,Partly Cloudy,,1,TWC,2022-09-06 15:02:53.843,2022-09-06 15:02:53.843,1,80.180534,29.0,85,UTC+0530,Hh8xS8Ad1n,e247a63b-a05e-48f3-90e0-ec8723b59b21,com.sec.android.app.shealth,km/h,,10.0,19,6effaf90-96a0-49fe-901c-09bef2cf6937,
,,2022-09-07 15:12:54.948,13.022945,,230.SW,Mostly Cloudy,,1,TWC,2022-09-07 15:24:19.052,2022-09-07 15:24:19.052,1,80.180046,26.0,97,UTC+0530,Hh8xS8Ad1n,ed397871-b447-47fa-88ea-e5bd0d7b6261,com.sec.android.app.shealth,km/h,,8.0,3,24916749-bf37-484c-8874-5796aec410b7,
,,2022-09-10 07:56:48.067,13.524038,,260.W,Cloudy,,1,TWC,2022-09-10 08:44:01.002,2022-09-10 08:44:01.002,1,77.71881,25.0,75,UTC+0530,Hh8xS8Ad1n,7d9cd795-3729-4ba5-bec3-2814232eec19,com.sec.android.app.shealth,km/h,,23.0,3,b7238cc7-8c27-49ce-9998-fc254e1f1053,
,,2022-09-13 14:50:17.604,13.023843,,190.S,Fair,,1,TWC,2022-09-13 14:55:49.963,2022-09-13 14:55:49.963,1,80.1784,30.0,85,UTC+0530,Hh8xS8Ad1n,c0a573f7-3294-43c3-b6da-43c92a5be096,com.sec.android.app.shealth,km/h,,18.0,18,4ca7505c-f32e-4f20-94f4-ff71979426f7,
,,2022-09-28 15:05:21.753,13.022069,,220.SW,Fog,,1,TWC,2022-09-28 15:07:59.351,2022-09-28 15:07:59.351,1,80.181305,29.0,84,UTC+0530,Hh8xS8Ad1n,9f60874c-ed27-4e0c-933d-4f4fd3da9bcd,com.sec.android.app.shealth,km/h,,3.0,4,2475c3ed-1346-4638-a4c6-51e08aebc6c0,
,,2022-11-13 05:45:19.372,12.976577,,80.E,Mostly Cloudy,,1,TWC,2022-11-13 06:34:14.767,2022-11-13 06:34:14.767,1,77.5698,24.0,83,UTC+0530,Hh8xS8Ad1n,90f8f627-784a-4d77-a7f7-45e88d4be6b0,com.sec.android.app.shealth,km/h,,18.0,3,907c915f-60c7-42f3-9859-36b3d6082238,
,,2022-11-17 15:18:38.013,13.02204,,350.N,Haze,,1,TWC,2022-11-17 15:28:07.760,2022-11-17 15:28:07.760,1,80.18156,25.0,76,UTC+0530,Hh8xS8Ad1n,9028ff92-66f8-46b0-80dc-eac14f902bfb,com.sec.android.app.shealth,km/h,,3.0,4,cc4eb538-e455-484d-9c98-2276de39d0ba,
,,2023-01-26 14:53:41.006,13.023689,,40.NE,Fog,,1,TWC,2023-01-26 15:04:46.977,2023-01-26 15:04:46.977,1,80.17691,27.0,77,UTC+0530,IIqR8tL6i5,38e1db8b-c274-4870-806e-e99d5244d336,com.sec.android.app.shealth,km/h,,10.0,4,15d03727-0779-4110-bed1-42be2b4ab1d2,
,,2023-02-11 17:52:45.579,17.408056,,20.NNE,Fair,,1,TWC,2023-02-11 18:02:49.095,2023-02-11 18:02:49.095,1,78.449814,23.0,44,UTC+0530,IIqR8tL6i5,91fad2d5-c0e8-46bc-8e41-70bcee504488,com.sec.android.app.shealth,km/h,,8.0,18,4cdca510-ff9f-4ae4-8750-e1585dcbfe74,
,,2023-03-08 14:32:26.554,13.028752,,80.E,Clear,,1,TWC,2023-03-08 14:42:48.632,2023-03-08 14:42:48.632,1,80.17032,27.0,72,UTC+0530,IIqR8tL6i5,9391a579-2fbf-46ef-908b-b6644aba1b85,com.sec.android.app.shealth,km/h,,13.0,18,c48c0e97-1078-4a76-b58d-8639a71fce95,
,,2023-03-11 04:20:48.428,13.467231,,70.ENE,Haze,,1,TWC,2023-03-11 04:52:18.714,2023-03-11 04:52:18.714,1,79.75934,28.0,67,UTC+0530,IIqR8tL6i5,ba57f0cc-736f-47c5-9aa8-96d7c18b5cdc,com.sec.android.app.shealth,km/h,,8.0,4,db03ade3-c5dd-4ca7-875a-0073f9720fbf,
,,2023-04-14 16:45:11.242,13.026222,,190.S,Fair,,1,TWC,2023-04-14 17:02:53.708,2023-04-14 17:02:53.708,1,80.17468,29.0,77,UTC+0530,IIqR8tL6i5,b9ecb095-aa9e-4078-8bdd-e1f27c2c993a,com.sec.android.app.shealth,km/h,,8.0,18,9a13a7b6-6738-4df6-a8af-98caa374a789,
,,2023-04-22 00:54:50.748,11.267268,,20.NNE,Fair,,1,TWC,2023-04-22 00:58:35.540,2023-04-22 00:58:35.540,1,75.874084,27.0,84,UTC+0530,IIqR8tL6i5,9d3e3ec4-4d2f-49eb-90d5-3652553cf5a7,com.sec.android.app.shealth,km/h,,0.0,1,62ee5e12-bb07-46bb-bbfc-fd9341e64002,
,,2023-04-21 23:47:25.268,11.263851,,350.N,Partly Cloudy,,1,TWC,2023-04-22 00:00:13.531,2023-04-22 00:00:13.531,1,75.87436,27.0,83,UTC+0530,IIqR8tL6i5,04f60759-d1c8-4f06-8e51-537e0e97acde,com.sec.android.app.shealth,km/h,,5.0,19,5a67227b-5267-494c-a118-4a219585e2a4,
,,2023-05-22 18:44:14.336,13.020439,,210.SSW,Fair,,1,TWC,2023-05-22 18:49:30.796,2023-05-22 18:49:30.796,1,80.18095,30.0,87,UTC+0530,IIqR8tL6i5,3011a002-c78f-4ca7-8613-9c56505232d2,com.sec.android.app.shealth,km/h,,11.0,18,078b2692-5bca-411c-bedb-33128c4c50b9,
,,2023-07-03 03:29:16.337,13.014974,,230.SW,Cloudy,,1,TWC,2023-07-03 04:16:59.754,2023-07-03 04:16:59.754,1,80.22237,28.0,89,UTC+0530,IIqR8tL6i5,8fbc4fe7-8812-44ec-9a23-df582eae981f,com.sec.android.app.shealth,km/h,,13.0,3,b02b63c9-9055-477e-964c-d9a3ca3e998f,
,,2023-07-03 15:44:07.229,13.0277195,,230.SW,Mostly Cloudy,,1,TWC,2023-07-03 15:58:13.073,2023-07-03 15:58:13.073,1,80.17187,29.0,81,UTC+0530,IIqR8tL6i5,4e0ee803-ec90-453e-a8c9-87456f1d68b0,com.sec.android.app.shealth,km/h,,14.0,3,b5f92e12-b25d-4ebd-9a02-28b47baa8713,
,,2023-07-04 16:52:51.004,13.02831,,290.WNW,Mostly Cloudy,,1,TWC,2023-07-04 17:12:13.875,2023-07-04 17:12:13.875,1,80.17091,28.0,85,UTC+0530,IIqR8tL6i5,de715793-aa13-4dad-8402-a5d721e61386,com.sec.android.app.shealth,km/h,,11.0,3,8333bb1b-e4aa-49ec-b682-d81e51f45294,
,,2023-07-13 18:56:32.368,13.027311,,230.SW,Fog,,1,TWC,2023-07-13 20:15:19.126,2023-07-13 20:15:19.126,1,80.17226,27.0,87,UTC+0530,IIqR8tL6i5,aad3c54d-940d-48f5-a461-8a82dabc5183,com.sec.android.app.shealth,km/h,,11.0,4,b7ddec5d-04b7-4d0c-bd02-c94cb7cbb843,
,,2023-08-21 17:54:03.878,13.022232,,160.SSE,Fair,,1,TWC,2023-08-21 18:00:20.317,2023-08-21 18:00:20.317,1,80.176025,30.0,84,UTC+0530,z/yAO0rODv,c0850b3b-591a-434c-b0a5-d43666278123,com.sec.android.app.shealth,km/h,,8.0,18,52f2cb0e-b5f4-4a03-bff6-8a97e2a66972,
,,2023-08-21 18:06:23.568,13.03808,,180.S,Partly Cloudy,,1,TWC,2023-08-21 18:06:55.796,2023-08-21 18:06:55.796,1,80.14791,29.0,84,UTC+0530,z/yAO0rODv,7aef78f2-6a09-4d0c-89f7-c65e8c426edd,com.sec.android.app.shealth,km/h,,6.0,19,eb2d2866-434c-4975-9300-a27294509263,
,,2023-08-22 14:55:40.450,13.020145,,300.WNW,Partly Cloudy,,1,TWC,2023-08-22 15:11:26.603,2023-08-22 15:11:26.603,1,80.18134,30.0,84,UTC+0530,z/yAO0rODv,37666ff5-edfb-4a66-a07d-2e5cce7647e9,com.sec.android.app.shealth,km/h,,5.0,19,23c9ae2a-e7c3-49cc-9cad-76d312a11b03,
,,2023-08-23 18:12:51.294,13.038209,,180.S,Partly Cloudy,,1,TWC,2023-08-23 18:13:33.688,2023-08-23 18:13:33.688,1,80.14784,29.0,85,UTC+0530,z/yAO0rODv,f5220bc0-b266-4691-90d3-19f777acc343,com.sec.android.app.shealth,km/h,,10.0,19,0c27d18e-5782-4cbd-bdb7-9c5d18e1e0e8,
,,2023-08-23 17:57:26.545,13.019512,,180.S,Fair,,1,TWC,2023-08-23 17:57:28.278,2023-08-23 17:57:28.278,1,80.181,30.0,84,UTC+0530,z/yAO0rODv,01a8ff14-92be-417b-bdb7-3df5708470b4,com.sec.android.app.shealth,km/h,,10.0,18,3829c923-6106-4a10-8619-667f2a28608b,
,,2023-08-23 17:30:46.897,13.02107,,180.S,Fair,,1,TWC,2023-08-23 17:34:49.202,2023-08-23 17:34:49.202,1,80.18318,30.0,84,UTC+0530,z/yAO0rODv,8d501224-addd-4ed9-9f6e-96ab07d93135,com.sec.android.app.shealth,km/h,,10.0,18,ae0a2442-f01a-4c83-9acf-700e9fa1d578,
,,2023-08-23 18:13:53.724,13.038342,,180.S,Partly Cloudy,,1,TWC,2023-08-23 18:32:22.515,2023-08-23 18:32:22.515,1,80.147964,29.0,85,UTC+0530,z/yAO0rODv,c0bb29ba-051c-4cd2-8789-7502f3364c3d,com.sec.android.app.shealth,km/h,,10.0,19,74bcde59-e4ce-4513-bcf1-de94e6885834,
,,2023-08-24 17:01:26.018,13.038216,,180.S,Partly Cloudy,,1,TWC,2023-08-24 17:03:09.553,2023-08-24 17:03:09.553,1,80.147766,30.0,84,UTC+0530,z/yAO0rODv,b6913d8e-1cd3-4d13-8fb2-f919c798b45b,com.sec.android.app.shealth,km/h,,11.0,19,d3ab82cb-c918-4629-aa11-be4d49d350d6,
,,2023-08-30 18:13:32.038,13.038087,,260.W,Mostly Cloudy,,1,TWC,2023-08-30 18:25:01.900,2023-08-30 18:25:01.900,1,80.14802,28.0,80,UTC+0530,z/yAO0rODv,ebd0a7a1-5c25-4b1c-b80c-10da4a918dbb,com.sec.android.app.shealth,km/h,,10.0,3,729676d8-eda9-4999-8c24-1ee975d5c1bb,
