com.samsung.health.hrv,6302031,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2025-01-17 00:30:00.000,,9f011ede-b081-4892-a7d6-71af51f13970.binning_data.json,62800471,2025-01-17 01:32:01.867,2025-01-17 01:15:30.217,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-17 01:30:00.000,9f011ede-b081-4892-a7d6-71af51f13970,
62800471,2025-01-17 01:30:00.000,,b51a2003-9bb7-44ba-bd08-5d156a299bd1.binning_data.json,62800471,2025-01-17 02:14:35.145,2025-01-17 02:14:35.145,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-17 02:14:28.558,b51a2003-9bb7-44ba-bd08-5d156a299bd1,
62800471,2025-01-17 02:30:00.000,,71484848-b712-4e47-8a2c-d5e69405142d.binning_data.json,62800471,2025-01-17 03:07:04.399,2025-01-17 03:07:04.399,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-17 03:07:04.329,71484848-b712-4e47-8a2c-d5e69405142d,
62800471,2025-01-17 03:30:00.000,,7c0c7ed5-4233-4beb-ba79-ed86e3b367e5.binning_data.json,62800471,2025-01-17 03:47:23.016,2025-01-17 03:47:23.016,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-17 03:47:22.518,7c0c7ed5-4233-4beb-ba79-ed86e3b367e5,
62900571,2025-01-17 19:30:00.000,,7f6a6e39-9542-44dd-9252-38fe3c4186e0.binning_data.json,62900571,2025-01-17 20:06:11.190,2025-01-17 20:06:11.190,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-17 20:06:11.109,7f6a6e39-9542-44dd-9252-38fe3c4186e0,
62900571,2025-01-17 20:30:00.000,,e111503c-601c-4dca-8de2-ee9d43224ffe.binning_data.json,62900571,2025-01-17 21:09:52.078,2025-01-17 21:09:52.078,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-17 21:09:51.982,e111503c-601c-4dca-8de2-ee9d43224ffe,
62900571,2025-01-17 21:30:00.000,,856e8a15-8ae3-4fe9-bff7-881e6f09188d.binning_data.json,62900571,2025-01-17 22:15:00.197,2025-01-17 22:15:00.197,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-17 22:15:00.137,856e8a15-8ae3-4fe9-bff7-881e6f09188d,
62900571,2025-01-17 22:30:00.000,,21802e8a-7789-431e-96ea-8f2be55f008e.binning_data.json,62900571,2025-01-17 23:05:06.588,2025-01-17 23:05:06.588,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-17 23:05:06.506,21802e8a-7789-431e-96ea-8f2be55f008e,
62900571,2025-01-17 23:30:00.000,,798f94a7-2380-4f15-93ce-c07d3aaf7d2d.binning_data.json,62900571,2025-01-18 00:06:47.309,2025-01-18 00:06:47.309,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-18 00:06:47.267,798f94a7-2380-4f15-93ce-c07d3aaf7d2d,
62900571,2025-01-18 00:30:00.000,,1d7b8dfe-f018-4d1d-9c64-d0bd26ae6523.binning_data.json,62900571,2025-01-18 01:14:41.223,2025-01-18 01:14:41.223,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-18 01:14:41.165,1d7b8dfe-f018-4d1d-9c64-d0bd26ae6523,
62900571,2025-01-18 01:30:00.000,,043873c0-56fe-44f3-b273-2205cc2d0a26.binning_data.json,62900571,2025-01-18 02:18:10.025,2025-01-18 02:06:52.637,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-18 02:18:00.630,043873c0-56fe-44f3-b273-2205cc2d0a26,
62900571,2025-01-18 21:30:00.000,,1126efa0-5516-4de0-a16b-a4bf24569d50.binning_data.json,62900571,2025-01-18 22:15:01.199,2025-01-18 22:15:01.199,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-18 22:15:01.117,1126efa0-5516-4de0-a16b-a4bf24569d50,
62900571,2025-01-18 22:30:00.000,,f176c0e6-3974-4242-9fc6-e51d2abfc66b.binning_data.json,62900571,2025-01-18 23:08:39.397,2025-01-18 23:08:39.397,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-18 23:08:39.362,f176c0e6-3974-4242-9fc6-e51d2abfc66b,
62900571,2025-01-18 23:30:00.000,,36e60a2d-57c9-4298-b3ff-4ab5f99fb1c4.binning_data.json,62900571,2025-01-19 00:15:01.214,2025-01-19 00:15:01.214,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-19 00:15:01.151,36e60a2d-57c9-4298-b3ff-4ab5f99fb1c4,
62900571,2025-01-19 00:30:00.000,,27120196-c0f7-42c7-815a-733f2d28846f.binning_data.json,62900571,2025-01-19 01:11:30.883,2025-01-19 01:11:30.883,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-19 01:11:30.753,27120196-c0f7-42c7-815a-733f2d28846f,
62900571,2025-01-19 01:30:00.000,,cdf27b59-87dc-4659-98f9-8370563e2bf0.binning_data.json,62900571,2025-01-19 03:15:01.215,2025-01-19 02:09:07.226,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-19 02:30:00.000,cdf27b59-87dc-4659-98f9-8370563e2bf0,
62900571,2025-01-19 03:30:00.000,,19270c39-dc80-4abe-ae8c-cd11357694e0.binning_data.json,62900571,2025-01-19 04:01:08.450,2025-01-19 04:01:08.450,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-19 04:01:05.148,19270c39-dc80-4abe-ae8c-cd11357694e0,
