com.samsung.shealth.program.sleep_coaching.mission,6302031,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
,null,,,2022-04-11 16:16:10.731,2022-03-22 04:10:30.873,1,20,SP_MSN_17,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,d30308a6-bd63-442d-a0a6-4a05be386fe2,1,
,null,,,2022-04-11 09:33:39.505,2022-03-22 04:10:30.873,1,19,SP_MSN_04,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,d82a0d8f-8fd8-43e9-8c76-445afcb65b3a,1,
,["SP_SVY1_ANS_06"],,,2022-04-11 16:15:57.600,2022-03-22 04:10:30.873,1,20,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,3e834ba9-6020-4c6d-ae71-8526cfb7e3bc,1,
,null,,,2022-04-11 09:33:48.745,2022-03-22 04:10:30.873,1,19,SP_MSN_18,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,ffde59aa-215c-4fc1-81a9-e92a95cf8076,1,
,null,,,2022-04-11 16:16:00.940,2022-03-22 04:10:30.873,1,20,SP_MSN_04,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,0f5adf17-b166-47ad-9ddd-62fd7cb846be,1,
,null,,,2022-04-11 16:16:03.608,2022-03-22 04:10:30.873,1,20,SP_MSN_05,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,75fa51e9-4f5d-4cc8-845f-fb0398e7328c,1,
,["SP_SVY1_ANS_06"],,,2022-04-11 09:33:16.714,2022-03-22 04:10:30.873,1,18,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,e9026a2c-67a0-461d-9562-0a6dbc31b2b4,1,
,"[""SP_SVY1_ANS_01"",""SP_SVY1_ANS_03""]",,,2022-04-11 09:33:35.386,2022-03-22 04:10:30.873,1,19,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,90d8773e-e325-4ae1-9ed4-0ee7c80709de,1,
,null,,,2022-04-12 13:45:17.270,2022-03-22 04:10:30.874,1,21,SP_MSN_13,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,29c717e8-1a38-4bf1-a3ee-b907d96c5247,1,
,["SP_SVY1_ANS_06"],,,2022-04-12 18:09:19.113,2022-03-22 04:10:30.873,1,21,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,4f10061e-a318-4e4a-b355-94e5de7c1ed3,1,
,null,,,2022-04-12 18:09:31.038,2022-03-22 04:10:30.874,1,21,SP_MSN_02,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,fa7d510d-73cc-4ba4-80b7-19629cabd1e5,1,
,null,,,2022-04-12 18:09:23.837,2022-03-22 04:10:30.874,1,21,SP_MSN_11,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,c8981dda-f799-4c4a-b0d7-207788c45142,1,
,null,,,2022-04-12 18:09:30.113,2022-03-22 04:10:30.874,1,21,SP_MSN_14,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,cc44b688-10e6-4871-ba9c-8dcb1c930a41,1,
,null,,,2022-04-13 13:47:51.687,2022-03-22 04:10:30.874,1,22,SP_MSN_13,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,1a14b40a-5899-4a31-85a8-fdec6930fc3b,1,
,null,,,2022-04-13 03:35:04.708,2022-03-22 04:10:30.874,1,22,SP_MSN_11,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,3c46e624-6992-422b-a8d9-41edaa9d3220,1,
,null,,,2022-04-14 03:46:05.197,2022-03-22 04:10:30.874,1,23,SP_MSN_11,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,0aa8154d-0a22-4cb7-bcde-0bc116b07d2a,1,
,null,,,2022-04-14 03:46:44.126,2022-03-22 04:10:30.874,1,22,SP_MSN_18,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,a46dbec7-33ba-4e1f-b9b8-5dbc312ad814,1,
,null,,,2022-04-14 03:46:26.679,2022-03-22 04:10:30.874,1,22,SP_MSN_14,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,fbf7532a-03b5-4259-b049-d99c1a4fc340,1,
,null,,,2022-04-14 03:46:14.079,2022-03-22 04:10:30.874,1,23,SP_MSN_14,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,de41a82f-698c-406f-937f-b390ba6fb218,1,
,["SP_SVY1_ANS_06"],,,2022-04-14 03:46:01.531,2022-03-22 04:10:30.874,1,23,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,de8f7c23-a3ea-45b4-9365-7af6f45938de,1,
