com.samsung.shealth.food_favorite,6302031,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2024-08-06 03:49:32.762,2024-08-06 03:49:32.762,a9b00128-0343-4285-9345-55bbab530963,,a9b00128-0343-4285-9345-55bbab530963,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0b060b13-f292-4fed-96bc-01a78876a18b,bb5d3455-94d7-42f4-b0d3-a0d139a8f7fe,
0.0,2,2024-08-06 03:39:03.026,2024-08-06 03:39:03.026,f06509ce-37f8-45b9-9104-a2aec2413505,,f06509ce-37f8-45b9-9104-a2aec2413505,0.0,EmOHuC/o0o,com.sec.android.app.shealth,588418ba-908c-495e-a697-d84b4c805650,01e32498-bd84-47d3-8ab1-b83357047847,
0.0,2,2024-08-06 03:49:32.762,2024-08-06 03:49:32.762,a9b00128-0343-4285-9345-55bbab530963,,a9b00128-0343-4285-9345-55bbab530963,0.0,EmOHuC/o0o,com.sec.android.app.shealth,db0e19f3-fadf-4368-b1c9-4762a2cc8972,9a1d5c4a-e019-4f2f-8767-aa944edaff34,
0.0,2,2024-08-06 03:48:16.957,2024-08-06 03:48:16.957,916777be-a7f5-44d6-870e-01aca1f9a1fc,,916777be-a7f5-44d6-870e-01aca1f9a1fc,0.0,EmOHuC/o0o,com.sec.android.app.shealth,d21adff3-17a3-4588-bf5d-416f0913b5b1,9a1d5c4a-e019-4f2f-8767-aa944edaff34,
0.0,2,2024-08-06 03:48:16.958,2024-08-06 03:48:16.958,916777be-a7f5-44d6-870e-01aca1f9a1fc,,916777be-a7f5-44d6-870e-01aca1f9a1fc,0.0,EmOHuC/o0o,com.sec.android.app.shealth,aa878eda-338d-4379-a431-5405f43d33cd,1eca1fc4-89d9-42e9-8df5-a1e27afd7c3d,
0.0,2,2024-08-06 03:49:32.762,2024-08-06 03:49:32.762,a9b00128-0343-4285-9345-55bbab530963,,a9b00128-0343-4285-9345-55bbab530963,0.0,EmOHuC/o0o,com.sec.android.app.shealth,7983639d-c8d3-4ae4-a275-ee2efa85bdb5,6ef7ef4c-2442-48ca-a18b-465b58c17385,
0.0,2,2024-08-06 03:49:32.762,2024-08-06 03:49:32.762,a9b00128-0343-4285-9345-55bbab530963,,a9b00128-0343-4285-9345-55bbab530963,0.0,EmOHuC/o0o,com.sec.android.app.shealth,447d167e-2c2a-4b05-a22c-1cd6ca97d05c,7aaa7576-256b-4e1d-8441-de4f6b2e9c91,
0.0,2,2024-08-06 09:38:26.676,2024-08-06 09:38:26.676,0f13462d-724a-48d5-94e1-47d686161109,,0f13462d-724a-48d5-94e1-47d686161109,0.0,EmOHuC/o0o,com.sec.android.app.shealth,dfd0daf8-dcba-48c5-a2b8-f0b261d72992,5a43fec6-fe4b-4e6d-ab47-66ecfc215ce9,
0.0,2,2024-08-06 09:38:26.676,2024-08-06 09:38:26.676,0f13462d-724a-48d5-94e1-47d686161109,,0f13462d-724a-48d5-94e1-47d686161109,0.0,EmOHuC/o0o,com.sec.android.app.shealth,5a2ed85e-50fc-4f9d-88c3-fedeeed92093,d4f4d7b1-acc5-482c-88d1-2ad33a7fc622,
0.0,2,2024-08-06 09:38:26.677,2024-08-06 09:38:26.677,0f13462d-724a-48d5-94e1-47d686161109,,0f13462d-724a-48d5-94e1-47d686161109,0.0,EmOHuC/o0o,com.sec.android.app.shealth,a0e70c00-f40c-47f7-8c3d-dd18815d346f,1b5e6d36-f596-407b-8df4-5ffada11b07d,
0.0,2,2024-08-06 09:38:45.385,2024-08-06 09:38:45.385,f509a547-210c-4f3d-ad51-3408a49aeb7f,,f509a547-210c-4f3d-ad51-3408a49aeb7f,0.0,EmOHuC/o0o,com.sec.android.app.shealth,55291586-95d6-4c97-a3d9-1eebe9b6756a,824d9232-743e-4e68-a44a-9a556eb815eb,
0.0,2,2024-08-06 16:32:42.411,2024-08-06 16:32:42.411,0c55209e-de87-4cbb-9fb9-13601877ef28,,0c55209e-de87-4cbb-9fb9-13601877ef28,0.0,EmOHuC/o0o,com.sec.android.app.shealth,c20b5855-16e7-458a-b399-b23280ca2bb0,e9b6c252-b80b-4b08-a2cd-63df206f17a1,
0.0,2,2024-08-06 16:34:12.238,2024-08-06 16:34:12.238,5c10d42b-1c67-4c5d-b2e8-63a124c76567,,5c10d42b-1c67-4c5d-b2e8-63a124c76567,0.0,EmOHuC/o0o,com.sec.android.app.shealth,2c965925-7749-4e86-a8e8-0f8141bd011d,0d03d04b-88e5-4e8e-b63f-e3e98887afbe,
0.0,2,2024-08-06 16:35:24.945,2024-08-06 16:35:24.945,b9bf12ed-0aa4-47a2-b41d-d4f75224c79e,,b9bf12ed-0aa4-47a2-b41d-d4f75224c79e,0.0,EmOHuC/o0o,com.sec.android.app.shealth,6718c849-c144-4b09-8293-72aa297e108b,0d03d04b-88e5-4e8e-b63f-e3e98887afbe,
0.0,2,2024-08-06 16:35:24.945,2024-08-06 16:35:24.945,b9bf12ed-0aa4-47a2-b41d-d4f75224c79e,,b9bf12ed-0aa4-47a2-b41d-d4f75224c79e,0.0,EmOHuC/o0o,com.sec.android.app.shealth,f4f03c30-c969-4ad0-a833-cbb6f53c2fde,5bb35ff7-adb9-4e54-860f-98c54949d7f2,
0.0,2,2024-08-06 16:32:42.411,2024-08-06 16:32:42.411,0c55209e-de87-4cbb-9fb9-13601877ef28,,0c55209e-de87-4cbb-9fb9-13601877ef28,0.0,EmOHuC/o0o,com.sec.android.app.shealth,d4122495-cf59-4356-a862-824b98fc659a,5a43fec6-fe4b-4e6d-ab47-66ecfc215ce9,
0.0,2,2024-08-06 16:35:24.946,2024-08-06 16:35:24.946,b9bf12ed-0aa4-47a2-b41d-d4f75224c79e,,b9bf12ed-0aa4-47a2-b41d-d4f75224c79e,0.0,EmOHuC/o0o,com.sec.android.app.shealth,f087c0f4-ac0a-4c57-b17c-7914f23b186a,0d233a25-2001-40b5-b073-ff4978704342,
0.0,2,2024-08-06 16:32:42.411,2024-08-06 16:32:42.411,0c55209e-de87-4cbb-9fb9-13601877ef28,,0c55209e-de87-4cbb-9fb9-13601877ef28,0.0,EmOHuC/o0o,com.sec.android.app.shealth,265e563f-1195-4d89-b4f0-12237957566a,d4f4d7b1-acc5-482c-88d1-2ad33a7fc622,
0.0,2,2024-08-06 16:32:42.411,2024-08-06 16:32:42.411,0c55209e-de87-4cbb-9fb9-13601877ef28,,0c55209e-de87-4cbb-9fb9-13601877ef28,0.0,EmOHuC/o0o,com.sec.android.app.shealth,13425cd4-3ea9-4fcd-b5f1-1c1e16ee06b6,1b5e6d36-f596-407b-8df4-5ffada11b07d,
1.0,3,2024-08-06 16:42:11.590,2024-08-06 16:42:11.590,Milkybar Choo,120001,a78831d0-4f0f-4f4e-a0eb-1ce36ea175ea,44.0,EmOHuC/o0o,com.sec.android.app.shealth,e8dd02f7-fef8-49ae-97f2-4ebfc6a6de70,b4c577de-79c0-4971-b01a-22abf0198219,
0.0,2,2024-08-06 16:48:12.952,2024-08-06 16:48:12.952,f85feac9-f72d-48cc-9307-3e7b7aa2f698,,f85feac9-f72d-48cc-9307-3e7b7aa2f698,0.0,EmOHuC/o0o,com.sec.android.app.shealth,c0da3271-e2b9-4867-8253-fc80a7bd5503,6ef7ef4c-2442-48ca-a18b-465b58c17385,
0.0,2,2024-08-06 16:48:12.952,2024-08-06 16:48:12.952,f85feac9-f72d-48cc-9307-3e7b7aa2f698,,f85feac9-f72d-48cc-9307-3e7b7aa2f698,0.0,EmOHuC/o0o,com.sec.android.app.shealth,d9917b87-254e-4c8e-a515-17a5a756a88d,49569d06-432e-46cb-81ac-fe16021d35ad,
0.0,2,2024-08-06 16:48:12.952,2024-08-06 16:48:12.952,f85feac9-f72d-48cc-9307-3e7b7aa2f698,,f85feac9-f72d-48cc-9307-3e7b7aa2f698,0.0,EmOHuC/o0o,com.sec.android.app.shealth,e67276cd-d48f-49ce-acd9-71aee085ce52,bb5d3455-94d7-42f4-b0d3-a0d139a8f7fe,
0.0,2,2024-08-06 16:48:12.952,2024-08-06 16:48:12.952,f85feac9-f72d-48cc-9307-3e7b7aa2f698,,f85feac9-f72d-48cc-9307-3e7b7aa2f698,0.0,EmOHuC/o0o,com.sec.android.app.shealth,081fee92-c04c-4aba-9be2-961a7b84ad81,e8733fec-8c8b-4a2f-9575-a9423da8d810,
