com.samsung.shealth.activity.day_summary,6302031,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,4710,,2938905,90,0,,2021-11-26 03:32:07.323,,2021-11-26 03:30:51.936,,,,-1,844904,53,,,,3626.143,,190.5888,400451ca-3aeb-4170-8b29-7e98305a0b06.extra_data.json,Rju+KmA1Z1,51400,com.sec.android.app.shealth,2887505,24720000,400451ca-3aeb-4170-8b29-7e98305a0b06,2021-11-23 00:00:00.000,
,,,,13310,,10288673,90,3137187,,2021-11-26 03:32:07.114,,2021-11-19 18:30:00.744,,,,-1,842554,190,,,,8451.676,,857.463,8cdf8562-a99c-461d-bf91-848b14afc85d.extra_data.json,Rju+KmA1Z1,67845,com.sec.android.app.shealth,7083641,19560000,8cdf8562-a99c-461d-bf91-848b14afc85d,2021-11-20 00:00:00.000,
,,,,3023,,1999465,90,0,,2021-11-26 03:32:06.917,,2021-11-26 03:30:51.849,,,,-1,60000,36,,,,2338.7603,,126.180984,0ae55d13-5372-4a1a-9d0f-c24e239760ac.extra_data.json,Rju+KmA1Z1,15200,com.sec.android.app.shealth,1984265,11400000,0ae55d13-5372-4a1a-9d0f-c24e239760ac,2021-11-18 00:00:00.000,
,,,,2427,,1609998,90,0,,2021-11-26 03:32:06.563,,2021-11-26 03:30:51.713,,,,-1,60000,28,,,,1866.5995,,105.13012,36ced83d-a896-4dc6-9016-2117f8cfc8d7.extra_data.json,Rju+KmA1Z1,13200,com.sec.android.app.shealth,1596798,13620000,36ced83d-a896-4dc6-9016-2117f8cfc8d7,2021-11-12 00:00:00.000,
,,,,4514,,2986593,90,0,,2021-11-26 03:32:06.722,,2021-11-14 18:30:01.114,,,,-1,120000,54,,,,3465.0557,,184.09131,43c3a2c6-914c-44fa-81fe-1a9e6c2c719d.extra_data.json,Rju+KmA1Z1,19200,com.sec.android.app.shealth,2967393,21120000,43c3a2c6-914c-44fa-81fe-1a9e6c2c719d,2021-11-15 00:00:00.000,
,,,,595,,396331,90,0,,2021-11-26 03:32:06.076,,2021-11-06 18:30:00.649,,,,-1,60000,6,,,,464.58002,,25.590004,86eb7896-3981-42d8-a821-47cf1fcc8000.extra_data.json,Rju+KmA1Z1,800,com.sec.android.app.shealth,395531,29580000,86eb7896-3981-42d8-a821-47cf1fcc8000,2021-11-07 00:00:00.000,
,,,,5139,,6963615,90,4429477,,2021-11-26 03:32:05.854,,2021-11-26 03:30:51.478,,,,-1,3443507,127,,,,7083.7686,,839.0694,97c9e1ed-5e61-4f71-97e3-5586ef8c75b4.extra_data.json,Rju+KmA1Z1,9600,com.sec.android.app.shealth,2524538,20940000,97c9e1ed-5e61-4f71-97e3-5586ef8c75b4,2021-11-05 00:00:00.000,
,,,,4180,,2747890,90,0,,2021-11-26 03:32:06.497,,2021-11-10 18:30:00.391,,,,-1,60000,50,,,,3182.3926,,171.9803,147af92b-f4ee-4f48-a149-e5efce60bf7d.extra_data.json,Rju+KmA1Z1,0,com.sec.android.app.shealth,2747890,27540000,147af92b-f4ee-4f48-a149-e5efce60bf7d,2021-11-11 00:00:00.000,
,,,,3751,,2432440,90,0,,2021-11-26 03:32:05.978,,2021-11-05 18:30:00.517,,,,-1,120000,44,,,,2949.9016,,155.0102,2fce6d10-d58a-4c46-b928-4df26252efa8.extra_data.json,Rju+KmA1Z1,4800,com.sec.android.app.shealth,2427640,23580000,2fce6d10-d58a-4c46-b928-4df26252efa8,2021-11-06 00:00:00.000,
,,,,3513,,2332863,90,0,,2021-11-26 03:32:06.414,,2021-11-09 18:30:01.462,,,,-1,120000,42,,,,2665.701,,125.86981,273f3fd6-9f09-4dcb-8618-53cb375cb431.extra_data.json,Rju+KmA1Z1,12400,com.sec.android.app.shealth,2320463,20220000,273f3fd6-9f09-4dcb-8618-53cb375cb431,2021-11-10 00:00:00.000,
