com.samsung.shealth.step_daily_trend,6302031,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
3fddef32-1bb4-4873-a355-6954f76afbeb.binning_data.json,2022-03-21 17:49:32.403,2022-03-21 17:49:32.403,com.sec.android.app.shealth,-2,4508,1.5169251,3571.835,202.35762,VfS0qUERdZ,com.sec.android.app.shealth,3fddef32-1bb4-4873-a355-6954f76afbeb,1634860800000,
c023d3c8-3020-4ee4-ad94-252810298d0f.binning_data.json,2022-03-21 17:49:32.411,2022-03-21 17:49:32.411,com.sec.android.app.shealth,-2,11110,1.4249183,8426.464,458.25607,VfS0qUERdZ,com.sec.android.app.shealth,c023d3c8-3020-4ee4-ad94-252810298d0f,1639008000000,
232ee36c-eefe-41dd-b532-452d7346cebe.binning_data.json,2022-03-21 17:49:32.408,2022-03-21 17:49:32.408,com.sec.android.app.shealth,-2,3284,1.3356724,2483.1323,133.85464,VfS0qUERdZ,com.sec.android.app.shealth,232ee36c-eefe-41dd-b532-452d7346cebe,1638057600000,
b7efbac0-8272-40e6-991d-4c4d44dee235.binning_data.json,2022-03-21 17:49:32.404,2022-03-21 17:49:32.404,com.sec.android.app.shealth,-2,3549,1.436442,2793.305,150.39977,VfS0qUERdZ,com.sec.android.app.shealth,b7efbac0-8272-40e6-991d-4c4d44dee235,1635724800000,
4c0f18e1-90eb-4b63-8362-c7ed4adb9864.binning_data.json,2022-03-21 17:49:32.402,2022-03-21 17:49:32.402,com.sec.android.app.shealth,-2,4595,1.427871,3606.9482,198.01215,VfS0qUERdZ,com.sec.android.app.shealth,4c0f18e1-90eb-4b63-8362-c7ed4adb9864,1634169600000,
012d1b1f-a5f8-42f8-8072-70026b6399e9.binning_data.json,2022-03-21 17:49:32.406,2022-03-21 17:49:32.406,com.sec.android.app.shealth,-2,6377,1.4117543,4945.451,250.21985,VfS0qUERdZ,com.sec.android.app.shealth,012d1b1f-a5f8-42f8-8072-70026b6399e9,1636416000000,
67b0cb93-00db-48bf-81e4-99e5bd9eb252.binning_data.json,2022-03-21 17:49:32.408,2022-03-21 17:49:32.408,com.sec.android.app.shealth,-2,4988,1.5605421,3916.9658,217.01685,VfS0qUERdZ,com.sec.android.app.shealth,67b0cb93-00db-48bf-81e4-99e5bd9eb252,1637884800000,
d8e3279f-ea4b-4949-806c-4c9c8197e4e5.binning_data.json,2022-03-21 17:49:32.412,2022-03-21 17:49:32.412,com.sec.android.app.shealth,-2,23416,1.5319968,18119.107,901.0362,VfS0qUERdZ,com.sec.android.app.shealth,d8e3279f-ea4b-4949-806c-4c9c8197e4e5,1639785600000,
17f76144-4248-40e6-aca2-7bdca571fcb7.binning_data.json,2022-03-21 17:49:32.377,2022-03-21 17:49:32.377,com.sec.android.app.shealth,0,8584,1.5753479,6785.9844,381.49597,EmOHuC/o0o,com.sec.android.app.shealth,17f76144-4248-40e6-aca2-7bdca571fcb7,1640304000000,
269e60dd-582a-4373-bb13-ad947f1fcb18.binning_data.json,2022-03-21 17:49:32.397,2022-03-21 17:49:32.397,com.sec.android.app.shealth,0,2493,1.2587775,1885.9658,105.614655,EmOHuC/o0o,com.sec.android.app.shealth,269e60dd-582a-4373-bb13-ad947f1fcb18,1646524800000,
85dd8fa3-b843-47f7-a9e7-7770d184e77d.binning_data.json,2022-03-21 17:49:32.382,2022-03-21 17:49:32.382,com.sec.android.app.shealth,0,5078,1.6846046,3833.6558,212.97916,EmOHuC/o0o,com.sec.android.app.shealth,85dd8fa3-b843-47f7-a9e7-7770d184e77d,1641686400000,
110630c9-9fc2-400e-b2d3-8478bc23e575.binning_data.json,2022-03-21 17:49:32.405,2022-03-21 17:49:32.405,com.sec.android.app.shealth,-2,5139,1.4337028,4039.402,212.92982,VfS0qUERdZ,com.sec.android.app.shealth,110630c9-9fc2-400e-b2d3-8478bc23e575,1636070400000,
8a312aa7-9499-4273-8b5a-6f49a8c42c5d.binning_data.json,2022-03-21 17:49:32.407,2022-03-21 17:49:32.407,com.sec.android.app.shealth,-2,3066,1.4337137,2365.9868,138.51015,VfS0qUERdZ,com.sec.android.app.shealth,8a312aa7-9499-4273-8b5a-6f49a8c42c5d,1637020800000,
30b2ac27-cdb6-4590-aa10-31832bb07ee1.binning_data.json,2022-03-21 17:49:32.399,2022-03-21 17:49:32.399,com.sec.android.app.shealth,0,593,1.1840351,441.6751,25.050102,EmOHuC/o0o,com.sec.android.app.shealth,30b2ac27-cdb6-4590-aa10-31832bb07ee1,1647043200000,
515ec1a3-6705-4f2e-8fc9-1cc92c2b694c.binning_data.json,2022-03-21 17:49:32.387,2022-03-21 17:49:32.387,com.sec.android.app.shealth,0,2117,1.4226254,1630.4316,92.04941,EmOHuC/o0o,com.sec.android.app.shealth,515ec1a3-6705-4f2e-8fc9-1cc92c2b694c,1643673600000,
48888586-e4a6-43a5-863c-994c4c4bc267.binning_data.json,2022-03-21 17:49:32.385,2022-03-21 17:49:32.385,com.sec.android.app.shealth,0,551,1.2147663,415.143,23.771473,EmOHuC/o0o,com.sec.android.app.shealth,48888586-e4a6-43a5-863c-994c4c4bc267,1643068800000,
2e0f1040-7508-46bd-8992-d3bcc72bbe77.binning_data.json,2022-03-21 17:49:32.383,2022-03-21 17:49:32.383,com.sec.android.app.shealth,0,4157,1.2732189,3149.543,174.07356,EmOHuC/o0o,com.sec.android.app.shealth,2e0f1040-7508-46bd-8992-d3bcc72bbe77,1641945600000,
6e03c707-208e-43c8-8ac9-47e5b023ca20.binning_data.json,2022-03-21 17:49:32.379,2022-03-21 17:49:32.379,com.sec.android.app.shealth,0,2374,1.2828102,1789.8807,99.31733,EmOHuC/o0o,com.sec.android.app.shealth,6e03c707-208e-43c8-8ac9-47e5b023ca20,1640649600000,
536e60df-b317-4beb-a76c-c8e987a837f4.binning_data.json,2022-03-21 17:49:32.376,2022-03-21 17:49:32.376,com.sec.android.app.shealth,0,9317,1.8081479,7563.614,429.11487,EmOHuC/o0o,com.sec.android.app.shealth,536e60df-b317-4beb-a76c-c8e987a837f4,1639785600000,
