com.samsung.health.food_info,6302031,7
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
0.0,0.0,0.0,0.0,22.0,"72.0 kcal, 1",,quickinput-9224358b-9d76-4816-a6de-2ce9d3662f3d,1,95.5,0.0,8.0,2024-08-20 20:17:45.725,2024-08-20 20:13:05.559,0.0,0.1,0.0,0.0,Amul Butter Cube,0.0,0.0,0.0,72.0,serving,,EmOHuC/o0o,120001,4.8,0.0,com.sec.android.app.shealth,0.0,1.0,e65a9027-240a-499b-aafc-85ac505919c6,1,
316.0,3.4444444,99.111115,0.0,0.0,,,fatsecret-36291,100,33.0,2.6,0.37,2024-08-20 20:18:45.490,2024-08-20 20:18:45.490,0.011,2.82,0.038,4.0555553,Broccoli,1.7,,3.6153846,34.0,g,,EmOHuC/o0o,g,0.039,,com.sec.android.app.shealth,6.64,2.9411764,2ac3acbd-e35d-40e6-8fa0-898be36001be,100,
0.0,0.0,0.0,0.0,0.0,"46.0 kcal, 1",,quickinput-a0bf61b7-a625-4d58-9c8a-a05baacf715b,1,57.0,0.0,0.0,2024-08-21 03:52:06.152,2024-08-21 03:51:50.831,0.0,0.0,0.0,0.0,Redbull yellow edition,11.0,0.0,0.0,46.0,serving,,EmOHuC/o0o,120001,0.0,0.0,com.sec.android.app.shealth,11.0,1.0,9d1bcce2-3371-49e9-8f24-2b580df42591,1,
,0.0,0.0,0.0,,,,fatsecret-25783167,100,,,2.7,2024-08-20 20:17:45.708,2024-08-20 20:13:21.882,,10.0,,0.0,Brown Bread(Modern),,,0.0,253.0,serving,,EmOHuC/o0o,g,,,com.sec.android.app.shealth,50.0,0.3952569,e526f388-be47-4f20-845b-e0e533072b76,1,
,0.0,0.0,0.0,,,,fatsecret-68910824,100,,10.0,14.7,2024-08-21 17:51:24.273,2024-08-21 17:51:24.273,,30.0,,0.0,Protein Bar (100g)(Rite Bite),,,0.0,361.0,serving,,EmOHuC/o0o,g,2.3,,com.sec.android.app.shealth,44.7,0.27700832,5c6757f3-c026-472c-a215-2e44ef5195ab,1,
289.0,11.111111,71.0,0.0,0.0,,,fatsecret-6012,102,295.0,3.3,2.74,2024-08-21 17:55:43.192,2024-08-21 17:55:43.192,1.143,2.35,0.852,3.6666667,Cooked Broccoli (Fat Added in Cooking),1.37,,3.0769231,55.0,"cup, flowerets",,EmOHuC/o0o,g,0.516,,com.sec.android.app.shealth,7.12,1.8545455,95bcf6e5-f661-42d9-9232-aa311372cf32,1,
,0.0,0.0,0.0,,,,fatsecret-9433759,100,8.0,,0.0,2024-08-21 17:55:43.191,2024-08-21 17:55:43.191,,0.0,,0.0,Coke Zero(Coca-Cola),,,0.0,0.0,serving,,EmOHuC/o0o,ml,,,com.sec.android.app.shealth,0.0,,2d2dde21-83dc-4c1a-be07-9d10a07d73d9,1,
682.0,0.0,0.0,0.0,0.0,,,fatsecret-3372,100,6.0,6.9,49.3,2024-08-23 05:35:34.265,2024-08-21 17:51:24.273,24.462,26.35,15.58,10.166667,Roasted Unsalted Peanuts,4.16,,6.769231,581.0,g,,EmOHuC/o0o,g,6.843,,com.sec.android.app.shealth,18.92,0.17211704,f0e4a31e-1c4c-4791-9f75-bb2dede027b0,100,
145.0,7.0,0.0,0.0,64.0,,,fatsecret-4857,87,229.0,0.9,13.87,2024-08-23 05:46:21.000,2024-08-23 05:46:21.000,4.633,20.19,2.536,6.111111,Nachos with Chicken or Turkey and Cheese,0.26,,14.0,249.0,cup,,EmOHuC/o0o,g,5.646,,com.sec.android.app.shealth,10.5,0.3493976,3134ff1a-e017-4ff5-9527-51d76deaaf41,1,
63.0,9.333333,0.0,0.0,211.0,,,fatsecret-3094,50,139.0,0.0,5.28,2024-08-29 04:04:10.098,2024-08-29 04:04:10.098,2.03,6.26,0.704,3.3333335,Boiled Egg,0.56,,1.9230769,77.0,large,,EmOHuC/o0o,g,1.627,,com.sec.android.app.shealth,0.56,0.64935064,109f00bd-85e7-4506-a19f-91f0323f3a99,1,
