com.samsung.shealth.rewards,6302031,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2022-01-11 18:30:00.000,,10299999,,2022-03-21 17:49:32.500,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":6014}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2022-01-11 18:30:00.000,8fb7a157-5f5a-47d0-9490-1861aa1ba55a,1,
,2021-10-11 18:30:00.000,,10299999,,2022-03-21 17:49:32.498,2022-03-21 17:49:32.498,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":8767}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-10-11 18:30:00.000,155116ba-0080-42b9-aa7f-3643e72519d6,1,
,2021-12-20 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":8023}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-20 18:30:00.000,ddc60efc-70af-4042-82bf-36183ce7ee0b,1,
1203,,11007,,68e14d0e-2ac0-47a2-bd9a-68be310c83b7,2022-03-21 17:49:32.662,2022-03-21 17:49:32.662,,,1203,UTC+0530,1293954,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2021-11-01 15:57:15.479,665bb1d6-329f-47ad-95aa-fe3fbe3bb127,1,
,2021-11-21 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":9266}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-11-21 18:30:00.000,e631b18d-8c2a-45e8-b045-918f23082c2c,1,
1205,,11007,,346a43ff-014e-498b-a1e3-0f970633edb0,2022-03-21 17:49:32.603,2021-10-27 03:06:09.638,,,1205,UTC+0530,137.6,BpIW3aQ9BJ,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2021-10-27 03:05:59.327,a3f856b8-3586-4c6b-a9c5-6da5b2c18ce3,0,
1201,,1001,,9b7ffb40-ef19-4d2e-be56-7a020d5ed1a9,2022-03-21 17:49:32.181,2022-03-21 17:49:30.895,,,1201,UTC+0530,2.171,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2021-10-25 15:09:04.075,c4e2c7f0-9f37-4efb-9169-03f02e9fb262,0,
,2022-01-19 18:30:00.000,,10299999,,2022-03-21 17:49:32.500,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":8423}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2022-01-19 18:30:00.000,46ff35db-cb18-45b3-a1ea-9d0cdc7386a9,1,
,2022-01-06 18:30:00.000,,10299999,,2022-03-21 17:49:32.500,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":7399}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2022-01-06 18:30:00.000,e676b103-0289-4965-a015-2d7f6fbb6fba,1,
,2022-01-04 18:30:00.000,,10299999,,2022-03-21 17:49:32.500,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":6931}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2022-01-04 18:30:00.000,d5ab41be-46a5-4cdb-b585-300a47fcc47c,1,
1203,,6003,,d257d526-5448-4581-8388-dacb2b12b229,2022-03-21 17:49:32.855,2022-03-21 17:49:32.831,,,1203,UTC+0530,5543293,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2021-11-19 18:42:26.292,0199b139-1e8b-44b4-a933-42dc4e028add,0,
1201,,1001,,ec77ff63-8c07-4c8b-837e-76ac744045c8,2022-03-21 17:49:32.181,2022-03-21 17:49:31.984,,,1201,UTC+0530,2.4722223,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2022-02-07 14:09:49.273,9032a25a-5528-433c-bf7c-dbc20471c78f,0,
1201,,1001,,27bb15c3-2c86-469d-9c17-09032dc6ae34,2022-03-21 17:49:32.207,2022-03-21 17:49:32.207,,,1201,UTC+0530,3.088,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2022-03-20 09:29:13.425,c3889ae6-4a28-41bf-a666-458a2ee27d50,1,
,2022-02-05 18:30:00.000,,10299999,,2022-03-21 17:49:32.500,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":9709}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2022-02-05 18:30:00.000,d2799e8a-a97a-4904-ae83-5688d3adb626,1,
1201,,1001,,1faa23e5-95d8-4634-b729-0d221fd528f0,2022-03-21 17:49:32.181,2022-03-21 17:49:31.661,,,1201,UTC+0530,2.397,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2022-01-09 16:05:09.449,73a8f69a-3942-4a1b-8f49-f63d8dc114e8,0,
1200,,11007,,a30f4a98-9074-4a5f-aa82-71b465a494a5,2022-03-21 17:49:32.759,2022-03-21 17:49:32.759,,,1200,UTC+0530,4053.7239,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-11-05 03:34:29.896,bec7ecd0-b3bf-4329-8ed6-e524ae72cb2e,1,
