com.samsung.shealth.food_frequent,6302031,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
1.0,2024-09-03 18:34:08.737,2024-09-03 18:34:08.737,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,2ad24c9a-1752-4d18-9641-77b323316a01,81d5b81f-465e-48e8-97c6-2b36d10b9095,0.0,
1.0,2024-09-04 10:39:48.727,2024-08-07 17:30:02.058,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,1.0,a383acee-5b50-48e1-b983-170a290b4822,99ae4719-f9c4-4dc3-b39f-5d562c3f620c,0.0,
1.0,2024-09-04 10:43:14.453,2024-09-04 10:43:14.453,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,4c18c868-d3e3-4d48-b746-ed44eeb93ed8,ef508276-ed2c-4c85-b336-0cb0cffe06c2,0.0,
0.0,2024-09-04 16:27:55.410,2024-09-04 16:27:55.410,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,9320207a-8d77-4fc0-8c88-120975c91624,1d366342-b2da-4605-abce-fe2d7e7c53dc,0.0,
1.0,2024-11-12 15:32:28.550,2024-08-21 03:59:22.133,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,c116b2ed-2561-4a9c-b76f-459f94b93264,d2889c8a-b1fc-46b6-b5ed-c8cce6d0af7c,0.0,
0.0,2024-11-12 15:32:28.563,2024-11-12 15:32:28.563,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,54b908ae-a91e-42a5-acb3-042708c01d08,9bbc3c82-8b9e-4b19-9c74-1593b5d1a8ea,0.0,
0.0,2024-11-13 08:26:10.507,2024-11-13 08:26:10.507,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,38b013ec-2943-4fd5-8638-e628df54f5ed,304d589d-6171-49a2-8bb9-9c772f35a284,1.0,
0.0,2024-11-13 16:11:57.920,2024-11-13 16:11:57.920,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,72169908-61df-4472-89ea-bbe4f29580c7,fa5d4cd9-7497-48ff-830a-1935d5550f3c,0.0,
0.0,2024-11-14 15:15:06.734,2024-11-14 15:15:06.734,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,df245ab8-7174-42f2-a5f6-042860d9565b,fbb1a539-55ba-42ab-a1b0-de48f7e9c4c7,1.0,
0.0,2024-11-14 15:15:06.742,2024-11-14 15:15:06.742,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,56b90be5-4576-45df-b019-33c0ce624408,3b19e235-72e0-46ad-a5ba-e75396ea9e85,1.0,
0.0,2024-11-14 15:15:06.750,2024-11-14 15:15:06.750,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,fc081bd3-3b0c-4aa7-ba9f-36de4dc59b33,07022c55-f79a-44dd-a126-b51ec6730fda,1.0,
2.0,2024-11-14 15:16:23.395,2024-11-12 15:33:43.107,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,fadf9576-fcf9-4f56-8649-647086df096e,47e3e9f4-5eb0-4aca-a7e4-10eadbdb2c17,0.0,
0.0,2024-11-14 17:02:21.356,2024-11-14 17:02:21.356,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,c8fb2942-aa6e-4deb-abb8-c77df74edd8d,a84fbd63-d020-466b-8d3c-ea789bd835b7,0.0,
0.0,2024-11-15 16:39:47.772,2024-08-11 06:50:57.177,1.0,0.0,1.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,f0d226db-091f-4e66-ba51-7690c40cff69,469e2494-c36b-4958-a5d4-c049f2e5b1d5,0.0,
0.0,2024-11-15 16:42:21.324,2024-11-15 16:42:21.324,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,cd822b9f-1c3d-41ba-9ba8-1675de56f9f4,acdc493c-10af-4e01-a3c1-c3dd1ed32c7a,1.0,
1.0,2024-11-15 16:43:50.736,2024-11-15 16:43:50.736,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,0e8caea6-a221-4d9e-a6b7-ade9fc6c2f05,d6efa89d-8188-40f0-93ac-1fed6fb53c88,0.0,
1.0,2024-11-15 16:43:50.749,2024-11-15 16:43:50.749,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,9ca49ddf-ad5c-42b5-9872-b5206fe22975,663cef5b-dfca-4ac3-bb66-a00abd54f6c6,0.0,
0.0,2024-11-16 03:59:20.004,2024-08-05 17:58:50.759,0.0,1.0,1.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,e72af312-5521-405b-9c4f-27bfe4ffd4e6,7aaa7576-256b-4e1d-8441-de4f6b2e9c91,0.0,
0.0,2024-11-16 11:36:17.675,2024-11-16 11:36:17.675,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,1.0,f5c03df8-09b4-43b3-bb80-b3ce4d2eb5cb,bb2230c3-3e77-44d0-a291-44172163708b,0.0,
0.0,2024-11-16 11:36:17.690,2024-11-16 11:36:17.690,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,1.0,8f4d4ccb-4887-42ee-ae96-526ca45b4769,5c736e13-39f4-42ac-899c-7af71edc90be,0.0,
0.0,2024-11-16 11:36:17.702,2024-11-16 11:36:17.702,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,1.0,fed548b7-e2df-4c07-8244-713be5d4ee6e,76a5e67d-d95b-4a08-a144-2034584cda51,0.0,
0.0,2025-02-19 12:42:15.703,2024-11-16 11:36:17.713,0.0,0.0,0.0,3QItrwNcp5,com.sec.android.app.shealth,1.0,4a62b3f9-9a18-4b40-8eb8-c485e0c83441,24aa50e7-3d0d-4129-a2b3-ad8936b8c164,1.0,
0.0,2024-11-17 14:45:04.568,2024-11-17 14:45:04.568,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,a134536b-5ac2-4c62-9b2a-a269939fb9e8,6f5479d4-e2c9-47d6-b02b-956f64b0760f,1.0,
0.0,2024-11-17 14:47:59.503,2024-11-17 14:47:59.503,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,fb88580d-f783-4f87-abf6-7337c49d3f2f,a296aea8-ce93-413a-a3f9-a174472e11c4,0.0,
0.0,2024-11-17 14:45:04.555,2024-11-17 14:45:04.555,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,b77522cc-1b57-4ded-a013-425d0058ca87,df1fe9e5-2dde-47f2-803a-63de134fb2c7,1.0,
0.0,2024-11-17 14:47:59.520,2024-11-17 14:47:59.520,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,03a296a2-8e0e-4dc0-bf8c-e4da90be88bb,4e0310d4-e0a7-441d-aa52-87bb5a5f60a0,0.0,
0.0,2024-11-17 14:47:59.533,2024-11-17 14:47:59.533,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,4ac5eb15-2f09-4bbb-ae7c-35ef6535a9df,ab98190d-9995-4f5d-8eae-9515fc26ebf2,0.0,
1.0,2024-11-18 14:33:27.519,2024-11-13 08:27:33.163,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,1.0,7b50c5b7-54be-406f-9901-1663f91c533e,37e8084a-585a-4af6-ab3b-00b36a02689e,0.0,
0.0,2024-11-18 17:28:50.715,2024-11-17 14:44:04.842,0.0,1.0,1.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,0f14bb48-3858-4f96-9c23-594aca4caa78,4c0e729f-7e5c-48f9-90da-9302ee1d71d4,0.0,
0.0,2024-11-19 08:53:46.324,2024-11-19 08:53:46.324,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,22dc0e05-fb4c-493d-8678-04942f11d037,5a84f7c5-ab2a-4759-ae23-57fac4c6dceb,1.0,
0.0,2024-11-19 15:26:25.477,2024-11-18 17:28:50.724,0.0,2.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,fc0b9239-6083-4b20-abae-ad2e426868b7,9453bb40-6e66-4514-bb27-16c627f7088a,0.0,
0.0,2024-11-19 15:27:44.699,2024-11-13 16:11:57.937,0.0,1.0,1.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,d535b555-70b5-4fcf-b6b3-87d470bda0d3,abf51377-c953-4024-9413-5a0654ec5f45,0.0,
0.0,2024-11-19 16:14:13.521,2024-11-19 16:14:13.521,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,eaf2700e-6e5f-4663-9b55-e2b20d18fbe0,f6c9d1dd-3eb7-4135-967b-d7e7ee028678,0.0,
0.0,2024-11-20 13:35:06.437,2024-11-20 13:35:06.437,0.0,0.0,1.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,cf8b04a6-d8b5-4c00-981b-88ed36c7334d,c6ab30ca-7c49-4f4a-a8f3-56e6cf5f0b92,0.0,
1.0,2024-11-20 13:42:13.003,2024-11-20 13:42:13.003,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,ad409aa2-43b3-4660-90ad-68a3640e5e94,a28b0ee3-11ae-4a81-b566-e6baa16c1850,0.0,
0.0,2024-11-21 14:37:06.006,2024-11-21 14:37:06.006,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,970a25c0-1b0a-4293-ad1f-a7cfce334f48,35157854-be53-4b94-8fbe-23357bbc2f40,1.0,
1.0,2024-11-21 14:39:29.320,2024-11-21 14:39:29.320,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,6968ca9a-acdf-43bf-a85c-b74471da49f6,17317200-1e24-4f1f-936e-6162cf9da565,0.0,
0.0,2024-11-22 14:08:43.690,2024-11-22 14:08:43.690,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,8e78e2d5-1be9-4789-8a9a-458ae81b1eeb,dc71e7de-10a7-4a0f-9720-569d46f422e0,0.0,
0.0,2024-11-22 14:37:41.792,2024-11-22 14:37:41.792,0.0,0.0,1.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,14b68b90-47f0-4007-93ba-ef3c26c76494,c06f381d-7dd5-4071-ae33-a746be23f90f,0.0,
1.0,2024-11-22 14:35:33.934,2024-11-22 14:35:33.934,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,0192c3bc-0107-4e7a-a942-03595e458ea8,c7241c3e-cc4e-4bda-8cd4-6cd4007b55eb,0.0,
1.0,2024-11-22 14:35:33.949,2024-11-22 14:35:33.949,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,9af327fb-b440-41e9-a725-a7f1886bf54a,c18aa0de-8ee8-430c-bab5-128649b2cf39,0.0,
1.0,2024-11-22 14:35:33.962,2024-11-22 14:35:33.962,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,88c67bd0-2135-45d9-868d-37975cfa5f93,22889236-6c5e-43aa-b1cd-d19b48632253,0.0,
0.0,2024-11-22 14:37:41.823,2024-11-22 14:37:41.823,0.0,0.0,1.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,b5dab58a-48f8-45d0-bb01-6ed39385a2a6,9622a522-7a7b-4224-b8b1-ac4e2793ee7e,0.0,
